Search_method Problem Max_evals Run Score
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 0 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 1 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 2 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 3 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 4 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 5 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 6 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 7 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 8 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 9 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 10 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 11 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 12 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 13 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 14 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 15 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 16 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 17 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 18 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 19 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 20 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 21 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 22 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 23 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 24 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 25 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 26 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 27 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 28 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 29 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 30 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 31 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 32 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 33 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 34 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 35 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 36 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 37 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 38 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 39 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 40 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 41 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 42 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 43 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 44 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 45 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 46 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 47 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 48 4027
Hill-Climber-LexiScore knapPI_11_20_1000_93 1000 49 4027
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 0 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 1 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 2 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 3 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 4 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 5 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 6 11400
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 7 11326
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 8 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 9 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 10 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 11 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 12 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 13 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 14 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 15 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 16 11472
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 17 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 18 11326
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 19 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 20 11354
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 21 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 22 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 23 11326
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 24 11448
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 25 11424
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 26 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 27 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 28 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 29 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 30 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 31 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 32 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 33 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 34 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 35 11354
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 36 11496
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 37 11326
Hill-Climber-LexiScore knapPI_13_20_1000_93 1000 38 11496
